
                    input               1               INPUT_PARAMETERS        Not a number               FUNCTION_SEQ        NO           INPUT_PARAMETERS
                     <---              31                       ASSIGNOP        Not a number              MAIN_FUNCTION        NO                   ASSIGNOP
                     0.00              31                           RNUM                 0.00                  ASSIGNOP       YES                 Leaf node 
                     b5c6              32                             ID        Not a number                   ASSIGNOP        NO                         ID
                chemistry              32                        FIELDID        Not a number                         ID       YES                 Leaf node 
                     <---              32                       ASSIGNOP        Not a number              MAIN_FUNCTION        NO                   ASSIGNOP
                     0.00              32                           RNUM                 0.00                  ASSIGNOP       YES                 Leaf node 
                       b5              33                             ID        Not a number                 LESS_EQUAL       YES                 Leaf node 
                       <=              33                     LESS_EQUAL        Not a number                  ITERATIVE        NO                 LESS_EQUAL
                d5cb34567              33                             ID        Not a number                 LESS_EQUAL       YES                 Leaf node 
                   ------               0         OUTPUT_PARAMETERS_CALL        Not a number                       CALL        NO     OUTPUT_PARAMETERS_CALL
                       d4              34                             ID        Not a number     OUTPUT_PARAMETERS_CALL       YES                 Leaf node 
               _readMarks              34                  FUNCTION_CALL        Not a number                       CALL       YES                 Leaf node 
                     call              34                           CALL        Not a number                  ITERATIVE        NO                       CALL
                   ------               0          INPUT_PARAMETERS_CALL        Not a number                       CALL        NO      INPUT_PARAMETERS_CALL
                       b5              34                             ID        Not a number      INPUT_PARAMETERS_CALL       YES                 Leaf node 
                     b5c6              35                             ID        Not a number                   ASSIGNOP       YES                 Leaf node 
                     <---              35                       ASSIGNOP        Not a number                  ITERATIVE        NO                   ASSIGNOP
                     b5c6              35                             ID        Not a number                       PLUS       YES                 Leaf node 
                        +              35                           PLUS        Not a number                   ASSIGNOP        NO                       PLUS
                       d4              35                             ID        Not a number                       PLUS       YES                 Leaf node 
                    while              33                      ITERATIVE        Not a number              MAIN_FUNCTION        NO                  ITERATIVE
                       b5              37                             ID        Not a number                   ASSIGNOP       YES                 Leaf node 
                     <---              37                       ASSIGNOP        Not a number                  ITERATIVE        NO                   ASSIGNOP
                       b5              37                             ID        Not a number                       PLUS       YES                 Leaf node 
                        +              37                           PLUS        Not a number                   ASSIGNOP        NO                       PLUS
                        1              37                            NUM                    1                      PLUS       YES                 Leaf node 
                       d4              39                             ID        Not a number                   ASSIGNOP       YES                 Leaf node 
                     <---              39                       ASSIGNOP        Not a number              MAIN_FUNCTION        NO                   ASSIGNOP
                     b5c6              39                             ID        Not a number                     DIVIDE       YES                 Leaf node 
                        /              39                         DIVIDE        Not a number                   ASSIGNOP        NO                     DIVIDE
                d5cb34567              39                             ID        Not a number                     DIVIDE       YES                 Leaf node 
                    write              40                        IOWRITE        Not a number              MAIN_FUNCTION        NO                    IOWRITE
                       d4              40                             ID        Not a number                    IOWRITE        NO                         ID
                    maths              40                        FIELDID        Not a number                         ID       YES                 Leaf node 
                    write              41                        IOWRITE        Not a number              MAIN_FUNCTION        NO                    IOWRITE
                       d4              41                             ID        Not a number                    IOWRITE        NO                         ID
                  physics              41                        FIELDID        Not a number                         ID       YES                 Leaf node 
                    write              42                        IOWRITE        Not a number              MAIN_FUNCTION        NO                    IOWRITE
                       d4              42                             ID        Not a number                    IOWRITE        NO                         ID
                chemistry              42                        FIELDID        Not a number                         ID       YES                 Leaf node 
                    _main              12                  MAIN_FUNCTION        Not a number                    PROGRAM        NO              MAIN_FUNCTION
                   return              43                         RETURN        Not a number              MAIN_FUNCTION       YES                 Leaf node 
